Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
202104;Ejerlejlighed;København;2500;Valby;720383,2001;6172139.385447505;720465,2268;6172345.507147954;55,64505005;12,50237179;;50;50;TRUE;d;1;9999;9999;9999;1960;;2161;1598000;1598000;1598000;11;11
201211;Ejerlejlighed;København;2300;København S;724920.0000359024;6171007.000154778;725002.0521947008;6171213,103;55,63281784;12,57339013;;115;115;TRUE;c;1;9999;9999;9999;2007;;;3395000;3395000;3300000;180;180
201109;Ejerlejlighed;København;2700;Brønshøj;719855.7631535833;6178530.566869908;719937.8029521592;6178736.730069712;55,70260928;12,49912555;;57;57;TRUE;d;1;9999;9999;9999;1932;;;750000;750000;750000;66;66
202106;Ejerlejlighed;København;2700;Brønshøj;719855.7631535833;6178530.566869908;719937.8029521592;6178736.730069712;55,70260928;12,49912555;;52;57;TRUE;d;1;9999;9999;9999;1932;;3107;1995000;1795000;1795000;52;52
201908;Ejerlejlighed;København;1719;København V;723533.2500995364;6174754.999918045;723615.3032064957;6174961.129928576;55,66706966;12,55445311;;61;61;TRUE;d;1;9999;9999;9999;1902;;2698;3145000;3145000;3145000;0;0
201107;Ejerlejlighed;København;1719;København V;723531.9996716526;6174755.000451634;723614.0527707738;6174961.130465389;55,66707024;12,55443327;;61;61;TRUE;c;1;9999;9999;9999;1902;;;1695000;1695000;1650000;25;25
201310;Ejerlejlighed;København;2450;København SV;723335,8903;6172737.389786374;723417.9369254697;6172943.507629331;55,6490661;12,54968188;;85;85;TRUE;c;1;9999;9999;9999;2004;;;2425000;2425000;2425000;;
201512;Ejerlejlighed;København;2450;København SV;723335,8903;6172737.389786374;723417.9369254697;6172943.507629331;55,6490661;12,54968188;;85;85;TRUE;c;1;9999;9999;9999;2004;;2871;3245000;3245000;3093000;51;51
202104;Ejerlejlighed;København;2450;København SV;723300.8750231713;6172771.500108099;723382.9215645713;6172977.618255651;55,64938809;12,54915425;;70;70;TRUE;c;1;9999;9999;9999;2004;;2541;3495000;3495000;3495000;15;15
201907;Ejerlejlighed;København;2400;København NV;721728.9479453075;6178828.995996371;721811.0002451171;6179035.156232733;55,70443344;12,52911663;1123;74;74;TRUE;c;1;9999;9999;9999;1938;;3174;2595000;2595000;2650000;9;9
