År,Uge,Lang rente
1999,30,7.18
1999,29,7.14
1999,28,7.11
1999,27,6.78
1999,26,6.59
1999,25,6.57
1999,24,6.49
1999,23,6.49
1999,22,6.40
1999,21,6.29
1999,20,6.24
1999,19,6.14
1999,18,6.01
1999,17,6.03
1999,16,6.05
1999,15,6.08
1999,14,6.02
1999,13,6.11
1999,12,6.19
1999,11,6.22
1999,10,6.29
1999,9,6.30
1999,8,6.08
1999,7,6.06
1999,6,6.00
1999,5,5.97
1999,4,5.98
1999,3,5.95
1999,2,5.91
1999,1,5.97
1998,53,6.29
1998,52,6.22
1998,51,6.34
1998,50,6.31
1998,49,6.36
1998,48,6.39
1998,47,6.45
1998,46,6.58
1998,45,6.58
1998,44,6.68
1998,43,6.74
1998,42,6.79
1998,41,6.63
1998,40,6.47
1998,39,6.75
1998,38,6.35
1998,37,6.33
1998,36,6.38
1998,35,6.30
1998,34,6.21
1998,33,6.17
1998,32,6.23
1998,31,6.27
1998,30,6.31
1998,29,6.32
1998,28,6.30
1998,27,6.34
1998,26,6.37
1998,25,6.39
1998,24,6.39
1998,23,6.42
1998,22,6.49
1998,21,6.55
1998,20,6.56
1998,19,6.55
1998,18,6.57
1998,17,6.47
1998,16,6.44
1998,15,6.47
1998,14,6.62
1998,13,6.59
1998,12,6.54
1998,11,6.55
1998,10,6.65
1998,9,6.70
1998,8,6.65
1998,7,6.84
1998,6,6.89
1998,5,6.90
1998,4,6.83
1998,3,6.90
1998,2,7.00
1998,1,7.14
1997,52,7.12
1997,51,7.19
1997,50,7.36
1997,49,7.36
1997,48,7.36
1997,47,7.41
1997,46,7.48
1997,45,7.51
1997,44,7.54
1997,43,7.53
1997,42,7.50
1997,41,7.39
1997,40,7.37
1997,39,7.46
1997,38,7.55
1997,37,7.58
1997,36,7.59
